"Numero";"Edad";"Genero";"EstadoCivil";"NivelEducativo";"paisPregunta";"Provincia";"SituacionLaboral";"CondicionLaboral";"RubroLaboral";"Estabilidad";"ClaseSocial";"CoberturaMedica";"PersonasACargo";"Vivienda";"Ahorros";"Inversiones";"Alineacion";"Religion";"Vehiculo";"Television";"Internet";"Fuma";"Crisis";"ganancia1_final";"ganancia1_anterior";"ganancia1_recorrido";"ganancia2_final";"ganancia2_anterior";"ganancia2_recorrido";"ganancia3_final";"ganancia3_anterior";"ganancia3_recorrido";"perdida1_final";"perdida1_anterior";"perdida1_recorrido";"perdida2_final";"perdida2_anterior";"perdida2_recorrido";"perdida3_final";"perdida3_anterior";"perdida3_recorrido";"mix1_final";"mix1_anterior";"mix1_recorrido";"mix2_final";"mix2_anterior";"mix2_recorrido";"mix3_final";"mix3_anterior";"mix3_recorrido";"cambiarRespuesta"
"11";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase media";"Obra social";"0";"Propietario";"Si";"Moneda extranjera";"Sin respuesta";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"0";"96";"93";"NO|SI|SI|SI|SI|";"906";"937";"NO|SI|SI|SI|NO|";"9063";"9375";"NO|SI|SI|SI|NO|";"110";"107";"NO|SI|SI|SI|NO|";"1032";"1063";"NO|SI|SI|SI|SI|";"10313";"10625";"NO|SI|SI|SI|SI|";"56";"54";"IN|SI|NO|NO|SI|";"605";"633";"IN|SI|NO|SI|NO|";"4322";"4034";"IN|NO|SI|SI|SI|";"No"
"12";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con menos de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase alta";"Otras";"0";"Propietario";"Si";"Moneda extranjera";"Derecha";"Ateo/a o Agnóstico/a";"Tengo 1";"Si";"Wifi por fibra óptica";"No";"1";"96";"93";"NO|SI|SI|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"19687";"19375";"SI|SI|SI|SI|SI|";"4";"7";"SI|SI|SI|SI|SI|";"218";"187";"SI|SI|SI|NO|NO|";"313";"625";"SI|SI|SI|SI|SI|";"178";"180";"SI|SI|SI|SI|NO|";"467";"481";"SI|NO|NO|NO|NO|";"613";"1223";"NO|NO|NO|NO|NO|";"No"
"13";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Otros";"Ciudad Autónoma de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"OSDE";"0";"Alquila";"Si";"Moneda extranjera";"Derecha";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"2";"22";"19";"NO|NO|NO|SI|SI|";"906";"937";"NO|SI|SI|SI|NO|";"4687";"4375";"NO|NO|SI|SI|SI|";"140";"143";"NO|SI|NO|NO|SI|";"844";"813";"SI|NO|NO|SI|NO|";"10313";"10625";"NO|SI|SI|SI|SI|";"16";"16";"NO|SI|SI|NO|NO|";"317";"289";"NO|NO|SI|NO|SI|";"992";"851";"NO|NO|NO|SI|SI|";"No"
"14";"35 a 44";"Femenino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase baja";"Obra social";"2";"Propietario";"No";"Ninguno";"Centro";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"2";"22";"19";"NO|NO|NO|SI|SI|";"406";"437";"NO|NO|SI|SI|NO|";"1563";"1875";"NO|NO|NO|SI|NO|";"22";"19";"SI|SI|SI|NO|NO|";"94";"63";"SI|SI|SI|SI|NO|";"313";"625";"SI|SI|SI|SI|SI|";"2";"2";"IN|IN|IN|IN|IN|";"15";"28";"NO|NO|NO|NO|NO|";"57";"110";"NO|NO|NO|NO|NO|";"No"
"15";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Propietario";"Si";"Ninguno";"Derecha";"Catolicismo";"Tengo 1";"Si";"Wifi por fibra óptica";"No";"2";"96";"93";"NO|SI|SI|SI|SI|";"718";"687";"NO|SI|NO|SI|SI|";"4687";"4375";"NO|NO|SI|SI|SI|";"22";"19";"SI|SI|SI|NO|NO|";"718";"687";"SI|NO|SI|NO|NO|";"5937";"5625";"SI|NO|SI|SI|NO|";"114";"112";"SI|NO|NO|SI|SI|";"769";"748";"SI|NO|IN|IN|SI|";"6938";"7079";"SI|SI|NO|NO|NO|";"Si"
"16";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Galeno";"0";"Alquila";"No";"Ninguno";"Derecha";"Otras";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"1";"190";"193";"SI|SI|SI|SI|NO|";"718";"687";"NO|SI|NO|SI|SI|";"2187";"1875";"NO|NO|NO|SI|SI|";"90";"93";"SI|NO|NO|NO|SI|";"1344";"1313";"NO|SI|NO|SI|NO|";"13437";"13125";"NO|SI|NO|SI|NO|";"160";"155";"NO|SI|SI|NO|SI|";"549";"570";"NO|SI|SI|NO|NO|";"1587";"1650";"NO|SI|SI|NO|NO|";"No"
"17";"18 a 24";"Masculino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Propietario";"Si";"Ninguno";"Derecha";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"0";"96";"93";"NO|SI|SI|SI|SI|";"968";"937";"NO|SI|SI|SI|SI|";"4687";"4375";"NO|NO|SI|SI|SI|";"96";"93";"SI|NO|NO|NO|NO|";"968";"937";"SI|NO|NO|NO|NO|";"9687";"9375";"SI|NO|NO|NO|NO|";"146";"148";"SI|SI|NO|NO|NO|";"983";"1012";"SI|NO|NO|NO|NO|";"4674";"4815";"SI|NO|NO|NO|NO|";"Si"
"18";"45 a 54";"Femenino";"Soltero/a";"Secundario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase media";"Accord";"0";"Alquila";"Si";"Plazo fijo";"Sin respuesta";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"Si";"3 o más";"4";"7";"IN|IN|IN|IN|IN|";"32";"63";"NO|NO|IN|IN|IN|";"10313";"10625";"SI|NO|NO|NO|NO|";"196";"193";"IN|IN|IN|IN|IN|";"1968";"1937";"IN|IN|IN|IN|IN|";"19687";"19375";"IN|IN|IN|IN|IN|";"2";"2";"NO|NO|NO|NO|NO|";"5";"6";"NO|NO|NO|NO|NO|";"329";"656";"NO|NO|NO|NO|NO|";"No"
"19";"35 a 44";"Femenino";"Casado/a o viviendo en pareja";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Trabajador independiente";"Registrado (trabajo en blanco)";"Sector privado";"Inseguro";"Clase baja";"Otras";"3 o más";"Alquila";"Si";"Plazo fijo";"Sin respuesta";"Cristianismo evangélico";"Tengo 1";"Si";"Wifi por cable";"No";"2";"46";"43";"NO|NO|SI|SI|SI|";"1968";"1937";"SI|SI|SI|SI|SI|";"17813";"18125";"SI|SI|SI|NO|NO|";"196";"193";"NO|NO|NO|NO|NO|";"1968";"1937";"NO|NO|NO|NO|NO|";"19687";"19375";"NO|NO|NO|NO|NO|";"3";"4";"NO|NO|NO|NO|NO|";"61";"122";"NO|NO|NO|NO|NO|";"563";"1124";"NO|NO|NO|NO|NO|";"No"
"20";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Obra social";"0";"Propietario";"No";"Ninguno";"Sin respuesta";"Catolicismo";"Tengo 2";"Si";"Wifi por fibra óptica";"No";"2";"96";"93";"NO|SI|SI|SI|SI|";"718";"687";"NO|SI|NO|SI|SI|";"7187";"6875";"NO|SI|NO|SI|SI|";"128";"131";"NO|SI|NO|SI|SI|";"1282";"1313";"NO|SI|NO|SI|SI|";"14063";"14375";"NO|SI|NO|NO|SI|";"10";"8";"IN|IN|IN|IN|SI|";"677";"656";"NO|SI|SI|SI|SI|";"1539";"1320";"NO|NO|NO|SI|SI|";"No"
"21";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Ciudad Autónoma de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase baja";"Obra social";"0";"Propietario";"No";"Ninguno";"Derecha";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"2";"196";"193";"SI|SI|SI|SI|SI|";"1968";"1937";"SI|SI|SI|SI|SI|";"19687";"19375";"SI|SI|SI|SI|SI|";"22";"19";"SI|SI|SI|NO|NO|";"282";"313";"SI|SI|NO|SI|SI|";"2813";"3125";"SI|SI|NO|SI|SI|";"225";"231";"SI|NO|NO|SI|NO|";"2501";"2562";"SI|NO|SI|NO|NO|";"25025";"25635";"SI|NO|SI|NO|NO|";"No"
"22";"55 a 64";"Masculino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase alta";"Otras";"1";"Alquila";"Si";"Moneda extranjera";"Centro";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"3 o más";"46";"43";"NO|NO|SI|SI|SI|";"468";"437";"NO|NO|SI|SI|SI|";"9063";"9375";"NO|SI|SI|SI|NO|";"78";"81";"SI|NO|NO|SI|SI|";"468";"437";"SI|SI|NO|NO|NO|";"2187";"1875";"SI|SI|SI|NO|NO|";"35";"36";"IN|SI|SI|NO|NO|";"353";"367";"IN|SI|SI|NO|NO|";"7202";"7490";"IN|SI|SI|NO|NO|";"No"
"23";"18 a 24";"Femenino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase baja";"Obra social";"0";"Propietario";"No";"Ninguno";"Izquierda";"Ateo/a o Agnóstico/a";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"0";"22";"19";"NO|NO|NO|SI|SI|";"1156";"1187";"SI|NO|IN|SI|NO|";"12813";"13125";"SI|NO|SI|NO|IN|";"190";"193";"NO|NO|NO|IN|SI|";"718";"687";"SI|NO|SI|NO|NO|";"7813";"8125";"SI|NO|NO|SI|SI|";"8";"8";"NO|NO|SI|SI|SI|";"1209";"1245";"SI|NO|NO|NO|NO|";"13375";"13780";"SI|NO|NO|NO|NO|";"No"
"24";"35 a 44";"Masculino";"Casado/a o viviendo en pareja";"Universitario o terciario completo";"Argentino";"Ciudad Autónoma de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"OSDE";"0";"Alquila";"Si";"Plazo fijo";"Centro";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"3 o más";"46";"43";"NO|NO|SI|SI|SI|";"406";"437";"NO|NO|SI|SI|NO|";"937";"625";"NO|NO|NO|NO|SI|";"134";"131";"NO|SI|NO|SI|IN|";"1406";"1437";"NO|SI|IN|IN|SI|";"15313";"15625";"NO|NO|SI|SI|SI|";"13";"14";"NO|NO|SI|IN|IN|";"197";"184";"NO|NO|SI|SI|SI|";"317";"341";"NO|NO|SI|SI|NO|";"No"
"25";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"Otras";"0";"Propietario";"No";"Ninguno";"Derecha";"Ateo/a o Agnóstico/a";"Tengo 1";"Si";"Wifi por cable";"No";"1";"78";"81";"NO|SI|SI|IN|IN|";"468";"437";"NO|NO|SI|SI|SI|";"2187";"1875";"NO|NO|NO|SI|SI|";"122";"119";"NO|SI|SI|IN|IN|";"468";"437";"SI|SI|NO|NO|NO|";"4063";"4375";"SI|SI|NO|NO|SI|";"18";"16";"NO|NO|NO|SI|SI|";"211";"197";"NO|NO|SI|SI|SI|";"951";"888";"NO|NO|SI|SI|SI|";"No"
"26";"18 a 24";"Masculino";"Soltero/a";"Secundario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Inseguro";"Clase media";"Ninguna";"0";"Propietario";"No";"Ninguno";"Derecha";"Sin respuesta";"No tengo vehículo propio";"Si";"Wifi por cable";"Ocasionalmente";"0";"10";"7";"NO|NO|NO|NO|SI|";"1968";"1937";"SI|SI|SI|SI|SI|";"19687";"19375";"SI|SI|SI|SI|SI|";"190";"193";"NO|NO|NO|NO|SI|";"94";"63";"SI|SI|SI|SI|NO|";"313";"625";"SI|SI|SI|SI|SI|";"9";"9";"SI|NO|NO|NO|NO|";"2013";"2074";"SI|NO|NO|NO|NO|";"20143";"20753";"SI|NO|NO|NO|NO|";"Si"
"27";"18 a 24";"Femenino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con menos de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"OSDE";"0";"Propietario";"Si";"Ninguno";"Centro";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"1";"46";"43";"NO|NO|SI|SI|SI|";"782";"813";"NO|SI|SI|NO|NO|";"9063";"9375";"NO|SI|SI|SI|NO|";"178";"181";"NO|NO|NO|SI|SI|";"1532";"1563";"NO|NO|SI|SI|SI|";"17813";"18125";"NO|NO|NO|SI|SI|";"29";"30";"NO|SI|NO|SI|NO|";"426";"450";"NO|SI|NO|NO|NO|";"4898";"5186";"NO|SI|NO|NO|NO|";"Sin respuesta"
"28";"25 a 34";"Masculino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector público";"Seguro";"Clase media";"Swiss Medical";"0";"Propietario";"Si";"Plazo fijo";"Sin respuesta";"Sin respuesta";"No tengo vehículo propio";"Si";"Wifi por cable";"No";"2";"90";"93";"NO|SI|SI|SI|NO|";"468";"437";"NO|NO|SI|SI|SI|";"937";"625";"NO|NO|NO|NO|SI|";"122";"119";"NO|SI|SI|NO|NO|";"1218";"1187";"NO|SI|SI|NO|NO|";"10937";"10625";"NO|SI|SI|SI|NO|";"50";"52";"IN|SI|NO|NO|NO|";"211";"197";"NO|NO|SI|SI|SI|";"221";"245";"NO|NO|SI|NO|NO|";"Sin respuesta"
"29";"35 a 44";"Femenino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"OSDE";"0";"Propietario";"Si";"Ninguno";"Sin respuesta";"Sin respuesta";"Tengo 1";"Si";"Wifi por cable";"No";"2";"4";"7";"NO|NO|NO|NO|NO|";"32";"63";"NO|NO|NO|NO|NO|";"313";"625";"NO|NO|NO|NO|NO|";"4";"7";"SI|SI|SI|SI|SI|";"32";"63";"SI|SI|SI|SI|SI|";"313";"625";"SI|SI|SI|SI|SI|";"2";"2";"NO|NO|SI|SI|SI|";"89";"88";"SI|SI|SI|SI|SI|";"103";"89";"NO|NO|NO|SI|SI|";"No"
"30";"45 a 54";"Femenino";"Divorciado/a o viudo/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Jubilado/a o pensionado/a";"No trabaja";"No trabaja";"Seguro";"Clase baja";"Obra social";"0";"Propietario";"No";"Ninguno";"Centro";"Catolicismo";"No tengo vehículo propio";"Si";"Wifi por fibra óptica";"No";"3 o más";"4";"7";"NO|NO|NO|NO|NO|";"32";"63";"NO|NO|NO|NO|NO|";"313";"625";"NO|NO|NO|NO|NO|";"104";"107";"NO|SI|SI|SI|SI|";"1032";"1063";"NO|SI|SI|SI|SI|";"313";"625";"SI|SI|SI|SI|SI|";"2";"2";"NO|NO|SI|SI|SI|";"37";"38";"NO|SI|SI|NO|NO|";"367";"381";"NO|SI|SI|NO|NO|";"No"
"31";"35 a 44";"Femenino";"Soltero/a";"Universitario o terciario completo";"Argentino";"Provincia de Buenos Aires";"Empleado/a en relación de dependencia con más de 20 hs semanales";"Registrado (trabajo en blanco)";"Sector privado";"Seguro";"Clase media";"Swiss Medical";"0";"Hipotecado";"Si";"Moneda extranjera";"Derecha";"Catolicismo";"Tengo 1";"Si";"Wifi por fibra óptica";"No";"2";"4";"7";"NO|NO|NO|NO|NO|";"32";"63";"NO|NO|IN|IN|IN|";"313";"625";"NO|NO|NO|NO|NO|";"96";"93";"SI|IN|IN|IN|IN|";"1968";"1937";"IN|IN|IN|IN|IN|";"19687";"19375";"IN|IN|IN|IN|IN|";"2";"2";"NO|NO|NO|NO|NO|";"5";"6";"NO|NO|NO|NO|NO|";"17";"31";"NO|NO|NO|NO|NO|";"No"
"32";"18 a 24";"Masculino";"Soltero/a";"Universitario o terciario incompleto";"Argentino";"Provincia de Buenos Aires";"Desempleado/a";"No trabaja";"No trabaja";"Sin respuesta";"Clase media";"OSDE";"0";"Propietario";"Si";"Moneda extranjera";"Sin respuesta";"Catolicismo";"Tengo 1";"Si";"Wifi por cable";"No";"1";"10";"7";"NO|NO|NO|NO|SI|";"968";"937";"NO|SI|SI|SI|SI|";"4687";"4375";"NO|NO|SI|SI|SI|";"22";"19";"SI|SI|SI|NO|NO|";"968";"937";"SI|NO|NO|NO|NO|";"4687";"4375";"SI|SI|NO|NO|NO|";"13";"13";"SI|SI|NO|NO|NO|";"983";"1012";"SI|NO|NO|NO|NO|";"992";"851";"NO|NO|NO|SI|SI|";"No"
